,Timestamp,id,lat,long,LastName,FirstName,CarID,CurrentEmploymentType,CurrentEmploymentTitle,time_delta_seconds,timestamp_salida,time_delta_minutes,weekend,workable_hour,workable_move,hour,moment_of_day,dates
78,2014-01-06 07:22:04,1,36.06365789,24.88586563,Calixto,Nils,1.0,Information Technology,IT Helpdesk,2097.0,2014-01-06 07:57:01,34.95,False,True,True,7,Morning,2014-01-06
404,2014-01-06 08:04:09,1,36.04802854,24.87957475,Calixto,Nils,1.0,Information Technology,IT Helpdesk,15172.0,2014-01-06 12:17:01,252.86666666666667,False,True,True,8,Morning,2014-01-06
853,2014-01-06 12:26:27,1,36.07666279,24.85759134,Calixto,Nils,1.0,Information Technology,IT Helpdesk,3514.0,2014-01-06 13:25:01,58.56666666666667,False,True,True,12,Morning,2014-01-06
1306,2014-01-06 13:34:27,1,36.04802866,24.87957231,Calixto,Nils,1.0,Information Technology,IT Helpdesk,14974.0,2014-01-06 17:44:01,249.56666666666666,False,True,True,13,Afternoon,2014-01-06
1483,2014-01-06 17:48:03,1,36.06648711,24.88260233,Calixto,Nils,1.0,Information Technology,IT Helpdesk,6478.0,2014-01-06 19:36:01,107.96666666666667,False,True,True,17,Afternoon,2014-01-06
1786,2014-01-06 19:42:27,1,36.07527609,24.85641875,Calixto,Nils,1.0,Information Technology,IT Helpdesk,394.0,2014-01-06 19:49:01,6.566666666666666,False,True,True,19,Evening,2014-01-06
1787,2014-01-06 19:49:01,1,36.07528409,24.85631951,Calixto,Nils,1.0,Information Technology,IT Helpdesk,2280.0,2014-01-06 20:27:01,38.0,False,True,True,19,Evening,2014-01-06
2082,2014-01-06 20:33:30,1,36.06643427,24.88256897,Calixto,Nils,1.0,Information Technology,IT Helpdesk,5851.0,2014-01-06 22:11:01,97.51666666666667,False,True,True,20,Evening,2014-01-06
2261,2014-01-06 22:15:02,1,36.04802174,24.87956959,Calixto,Nils,1.0,Information Technology,IT Helpdesk,2759.0,2014-01-06 23:01:01,45.983333333333334,False,False,False,22,Evening,2014-01-06
2262,2014-01-06 23:01:01,1,36.04802471,24.87957304,Calixto,Nils,1.0,Information Technology,IT Helpdesk,7740.0,2014-01-07 01:10:01,129.0,False,False,False,23,Evening,2014-01-06
2443,2014-01-07 01:14:02,1,36.06643937,24.88259434,Calixto,Nils,1.0,Information Technology,IT Helpdesk,7559.0,2014-01-07 03:20:01,125.98333333333333,False,False,False,1,Night,2014-01-07
2444,2014-01-07 03:20:01,1,36.06645565,24.88262136,Calixto,Nils,1.0,Information Technology,IT Helpdesk,14400.0,2014-01-07 07:20:01,240.0,False,False,False,3,Night,2014-01-07
2519,2014-01-07 07:22:04,1,36.06368971,24.88589695,Calixto,Nils,1.0,Information Technology,IT Helpdesk,2037.0,2014-01-07 07:56:01,33.95,False,True,True,7,Morning,2014-01-07
2843,2014-01-07 08:03:09,1,36.04803209,24.87956582,Calixto,Nils,1.0,Information Technology,IT Helpdesk,14752.0,2014-01-07 12:09:01,245.86666666666667,False,True,True,8,Morning,2014-01-07
3093,2014-01-07 12:15:16,1,36.05974513,24.858063100000003,Calixto,Nils,1.0,Information Technology,IT Helpdesk,5265.0,2014-01-07 13:43:01,87.75,False,True,True,12,Morning,2014-01-07
3375,2014-01-07 13:49:16,1,36.04802476,24.87957126,Calixto,Nils,1.0,Information Technology,IT Helpdesk,13845.0,2014-01-07 17:40:01,230.75,False,True,True,13,Afternoon,2014-01-07
3559,2014-01-07 17:44:03,1,36.06648972,24.88262874,Calixto,Nils,1.0,Information Technology,IT Helpdesk,4018.0,2014-01-07 18:51:01,66.96666666666667,False,True,True,17,Afternoon,2014-01-07
3755,2014-01-07 18:55:52,1,36.05196951,24.87082156,Calixto,Nils,1.0,Information Technology,IT Helpdesk,6369.0,2014-01-07 20:42:01,106.15,False,True,True,18,Afternoon,2014-01-07
3963,2014-01-07 20:46:51,1,36.06647644,24.88258366,Calixto,Nils,1.0,Information Technology,IT Helpdesk,310.0,2014-01-07 20:52:01,5.166666666666667,False,True,True,20,Evening,2014-01-07
3964,2014-01-07 20:52:01,1,36.06647516,24.88265566,Calixto,Nils,1.0,Information Technology,IT Helpdesk,39300.0,2014-01-08 07:47:01,655.0,False,True,True,20,Evening,2014-01-07
4027,2014-01-08 07:49:04,1,36.063662,24.88589143,Calixto,Nils,1.0,Information Technology,IT Helpdesk,657.0,2014-01-08 08:00:01,10.95,False,True,True,7,Morning,2014-01-08
4376,2014-01-08 08:07:09,1,36.04802129,24.87957178,Calixto,Nils,1.0,Information Technology,IT Helpdesk,14452.0,2014-01-08 12:08:01,240.86666666666667,False,True,True,8,Morning,2014-01-08
4815,2014-01-08 12:17:27,1,36.07663318,24.85764339,Calixto,Nils,1.0,Information Technology,IT Helpdesk,5434.0,2014-01-08 13:48:01,90.56666666666666,False,True,True,12,Morning,2014-01-08
5264,2014-01-08 13:57:27,1,36.04802996,24.87956965,Calixto,Nils,1.0,Information Technology,IT Helpdesk,14014.0,2014-01-08 17:51:01,233.56666666666666,False,True,True,13,Afternoon,2014-01-08
5457,2014-01-08 17:55:03,1,36.06645539,24.88260676,Calixto,Nils,1.0,Information Technology,IT Helpdesk,4978.0,2014-01-08 19:18:01,82.96666666666667,False,True,True,17,Afternoon,2014-01-08
5659,2014-01-08 19:22:52,1,36.05196687,24.87077481,Calixto,Nils,1.0,Information Technology,IT Helpdesk,7149.0,2014-01-08 21:22:01,119.15,False,True,True,19,Evening,2014-01-08
5760,2014-01-08 21:24:04,1,36.04805561,24.87957223,Calixto,Nils,1.0,Information Technology,IT Helpdesk,297.0,2014-01-08 21:29:01,4.95,False,False,False,21,Evening,2014-01-08
5761,2014-01-08 21:29:01,1,36.04803094,24.87956758,Calixto,Nils,1.0,Information Technology,IT Helpdesk,8640.0,2014-01-08 23:53:01,144.0,False,False,False,21,Evening,2014-01-08
5952,2014-01-08 23:57:02,1,36.06647822,24.882617899999996,Calixto,Nils,1.0,Information Technology,IT Helpdesk,12179.0,2014-01-09 03:20:01,202.98333333333332,False,False,False,23,Evening,2014-01-08
